,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Ottawa Senators (1917),1926-27,44,30,10,4,,64,0,.727,86,69,0,1.95,1.57,--,--,--,--,--
1,2,Montréal Canadiens,1926-27,44,28,14,2,,58,0,.659,99,67,0,2.25,1.52,--,--,--,--,--
2,3,New York Rangers,1926-27,44,25,13,6,,56,0,.636,95,72,0,2.16,1.64,--,--,--,--,--
3,4,Boston Bruins,1926-27,44,21,20,3,,45,0,.511,97,89,0,2.20,2.02,--,--,--,--,--
4,5,Montreal Maroons,1926-27,44,20,20,4,,44,0,.500,71,68,0,1.61,1.55,--,--,--,--,--
5,6,Chicago Blackhawks,1926-27,44,19,22,3,,41,0,.466,115,116,0,2.61,2.64,--,--,--,--,--
6,7,New York Americans,1926-27,44,17,25,2,,36,0,.409,82,91,0,1.86,2.07,--,--,--,--,--
7,8,Toronto St. Patricks,1926-27,44,15,24,5,,35,0,.398,79,94,0,1.80,2.14,--,--,--,--,--
8,9,Pittsburgh Pirates,1926-27,44,15,26,3,,33,0,.375,79,108,0,1.80,2.45,--,--,--,--,--
9,10,Detroit Cougars,1926-27,44,12,28,4,,28,0,.318,76,105,0,1.73,2.39,--,--,--,--,--
