,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Montréal Canadiens,1967-68,74,42,22,10,,94,0,.635,236,167,0,3.19,2.26,--,--,31.4,27.0,--
1,2,New York Rangers,1967-68,74,39,23,12,,90,0,.608,226,183,0,3.05,2.47,--,--,33.3,28.7,--
2,3,Boston Bruins,1967-68,74,37,27,10,,84,0,.568,259,216,0,3.50,2.92,--,--,33.3,29.5,--
3,4,Chicago Blackhawks,1967-68,74,32,26,16,,80,0,.541,212,222,0,2.86,3.00,--,--,30.0,31.1,--
4,5,Toronto Maple Leafs,1967-68,74,33,31,10,,76,0,.514,209,176,0,2.82,2.38,--,--,32.9,34.8,--
5,6,Philadelphia Flyers,1967-68,74,31,32,11,,73,0,.493,173,179,0,2.34,2.42,--,--,25.4,33.2,--
6,7,Los Angeles Kings,1967-68,74,31,33,10,,72,0,.486,200,224,0,2.70,3.03,--,--,30.9,28.2,--
7,8,St. Louis Blues,1967-68,74,27,31,16,,70,0,.473,177,191,0,2.39,2.58,--,--,30.0,29.0,--
8,9,Minnesota North Stars,1967-68,74,27,32,15,,69,0,.466,191,226,0,2.58,3.05,--,--,28.6,31.0,--
9,10,Pittsburgh Penguins,1967-68,74,27,34,13,,67,0,.453,195,216,0,2.64,2.92,--,--,30.8,30.7,--
10,11,Detroit Red Wings,1967-68,74,27,35,12,,66,0,.446,245,257,0,3.31,3.47,--,--,33.2,30.3,--
11,12,Oakland Seals,1967-68,74,15,42,17,,47,0,.318,153,219,0,2.07,2.96,--,--,25.0,31.2,--
