,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Detroit Red Wings,1994-95,48,33,11,4,,70,0,.729,180,117,0,3.75,2.44,24.2,86.4,32.7,25.1,0.0
1,2,Quebec Nordiques,1994-95,48,30,13,5,,65,0,.677,185,134,0,3.85,2.79,24.2,81.3,30.2,30.3,0.0
2,3,Pittsburgh Penguins,1994-95,48,29,16,3,,61,0,.635,181,158,0,3.77,3.29,19.0,79.9,29.2,32.9,0.0
3,4,St. Louis Blues,1994-95,48,28,15,5,,61,0,.635,178,135,0,3.71,2.81,16.4,80.3,29.4,28.3,0.0
4,5,Philadelphia Flyers,1994-95,48,28,16,4,,60,0,.625,150,132,0,3.13,2.75,19.6,80.8,27.4,26.9,0.0
5,6,Boston Bruins,1994-95,48,27,18,3,,57,0,.594,150,127,0,3.13,2.65,21.8,86.9,34.4,24.3,0.0
6,7,Calgary Flames,1994-95,48,24,17,7,,55,0,.573,163,135,0,3.40,2.81,18.5,85.1,30.2,29.3,0.0
7,8,Chicago Blackhawks,1994-95,48,24,19,5,,53,0,.552,156,115,0,3.25,2.40,24.5,84.2,30.1,24.9,0.0
8,9,New Jersey Devils,1994-95,48,22,18,8,,52,0,.542,136,121,0,2.83,2.52,13.4,81.2,30.1,25.4,0.0
9,10,Washington Capitals,1994-95,48,22,18,8,,52,0,.542,136,120,0,2.83,2.50,19.9,84.5,28.9,24.8,0.0
10,11,Buffalo Sabres,1994-95,48,22,19,7,,51,0,.531,130,119,0,2.71,2.48,18.6,85.5,26.6,30.4,0.0
11,12,Toronto Maple Leafs,1994-95,48,21,19,8,,50,0,.521,135,146,0,2.81,3.04,17.0,84.9,31.7,31.9,0.0
12,13,Vancouver Canucks,1994-95,48,18,18,12,,48,0,.500,153,148,0,3.19,3.08,19.7,83.5,32.9,29.6,0.0
13,14,New York Rangers,1994-95,48,22,23,3,,47,0,.490,139,134,0,2.90,2.79,20.0,83.9,31.9,26.3,0.0
14,15,Florida Panthers,1994-95,48,20,22,6,,46,0,.479,115,127,0,2.40,2.65,13.1,83.2,24.8,28.5,0.0
15,16,Hartford Whalers,1994-95,48,19,24,5,,43,0,.448,127,141,0,2.65,2.94,17.2,80.0,29.8,30.7,0.0
16,17,Montréal Canadiens,1994-95,48,18,23,7,,43,0,.448,125,148,0,2.60,3.08,16.3,80.6,28.7,31.9,0.0
17,18,San Jose Sharks,1994-95,48,19,25,4,,42,0,.438,129,161,0,2.69,3.35,11.8,81.3,24.0,31.6,0.0
18,19,Dallas Stars,1994-95,48,17,23,8,,42,0,.438,136,135,0,2.83,2.81,15.7,84.4,31.7,28.9,0.0
19,20,Los Angeles Kings,1994-95,48,16,23,9,,41,0,.427,142,174,0,2.96,3.63,17.5,81.0,30.1,34.8,0.0
20,21,Winnipeg Jets (1979),1994-95,48,16,25,7,,39,0,.406,157,177,0,3.27,3.69,19.2,83.0,29.8,32.2,0.0
21,22,Edmonton Oilers,1994-95,48,17,27,4,,38,0,.396,136,183,0,2.83,3.81,16.2,77.7,29.7,30.6,0.0
22,23,Tampa Bay Lightning,1994-95,48,17,28,3,,37,0,.385,120,144,0,2.50,3.00,14.1,84.4,26.7,27.6,0.0
23,24,Anaheim Ducks,1994-95,48,16,27,5,,37,0,.385,125,164,0,2.60,3.42,11.4,75.6,28.0,33.0,0.0
24,25,New York Islanders,1994-95,48,15,28,5,,35,0,.365,126,158,0,2.63,3.29,15.7,78.4,28.3,30.2,0.0
25,26,Ottawa Senators,1994-95,48,9,34,5,,23,0,.240,117,174,0,2.44,3.63,14.4,80.4,26.0,32.5,0.0
