,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Boston Bruins,2013-14,82,54,19,0,9,117,51,.713,258,171,3,3.15,2.09,21.7,83.7,31.9,29.1,51.6
1,2,Anaheim Ducks,2013-14,82,54,20,0,8,116,51,.707,263,203,3,3.21,2.48,16.0,82.2,31.3,28.7,49.2
2,3,Colorado Avalanche,2013-14,82,52,22,0,8,112,47,.683,245,216,5,2.99,2.63,19.8,80.7,29.5,32.7,49.5
3,4,St. Louis Blues,2013-14,82,52,23,0,7,111,43,.677,239,188,9,2.91,2.29,19.8,85.7,29.3,26.4,51.9
4,5,San Jose Sharks,2013-14,82,51,22,0,9,111,41,.677,239,193,10,2.91,2.35,17.2,84.9,34.8,27.8,52.8
5,6,Pittsburgh Penguins,2013-14,82,51,24,0,7,109,44,.665,242,204,7,2.95,2.49,23.4,85.0,29.9,28.8,51.0
6,7,Chicago Blackhawks,2013-14,82,46,21,0,15,107,40,.652,261,212,6,3.18,2.59,19.4,81.5,33.1,27.2,52.0
7,8,Tampa Bay Lightning,2013-14,82,46,27,0,9,101,38,.616,232,209,8,2.83,2.55,18.5,80.7,29.8,29.2,49.2
8,9,Los Angeles Kings,2013-14,82,46,28,0,8,100,38,.610,198,168,8,2.41,2.05,15.1,83.1,31.6,26.2,52.8
9,10,Montréal Canadiens,2013-14,82,46,28,0,8,100,40,.610,209,201,6,2.55,2.45,17.2,85.1,28.4,31.0,49.6
10,11,Minnesota Wild,2013-14,82,43,27,0,12,98,35,.598,199,198,8,2.43,2.41,17.8,78.8,26.6,27.7,50.9
11,12,New York Rangers,2013-14,82,45,31,0,6,96,41,.585,214,190,4,2.61,2.32,18.2,85.3,33.2,29.4,48.8
12,13,Philadelphia Flyers,2013-14,82,42,30,0,10,94,39,.573,233,227,3,2.84,2.77,19.7,84.8,30.4,30.6,50.0
13,14,Columbus Blue Jackets,2013-14,82,43,32,0,7,93,38,.567,226,214,5,2.76,2.61,19.3,82.1,29.6,30.8,51.5
14,15,Detroit Red Wings,2013-14,82,39,28,0,15,93,34,.567,217,221,5,2.65,2.70,17.7,83.0,30.0,29.3,50.7
15,16,Dallas Stars,2013-14,82,40,31,0,11,91,36,.555,231,223,4,2.82,2.72,15.9,81.4,31.7,30.4,50.1
16,17,Washington Capitals,2013-14,82,38,30,0,14,90,28,.549,225,229,10,2.74,2.79,23.4,82.0,29.4,33.5,48.4
17,18,Phoenix Coyotes,2013-14,82,37,30,0,15,89,31,.543,210,224,6,2.56,2.73,19.9,79.0,30.5,31.0,52.0
18,19,Nashville Predators,2013-14,82,38,32,0,12,88,36,.537,214,233,2,2.61,2.84,19.2,80.3,29.0,28.9,53.1
19,20,Ottawa Senators,2013-14,82,37,31,0,14,88,30,.537,229,258,7,2.79,3.15,18.4,80.9,32.8,34.7,51.2
20,21,New Jersey Devils,2013-14,82,35,29,0,18,88,35,.537,197,195,0,2.40,2.38,19.5,86.4,26.8,25.5,47.0
21,22,Toronto Maple Leafs,2013-14,82,38,36,0,8,84,29,.512,222,252,9,2.71,3.07,19.8,78.3,27.9,35.9,48.3
22,23,Winnipeg Jets,2013-14,82,37,35,0,10,84,29,.512,219,231,8,2.67,2.82,15.4,83.2,30.7,30.1,46.9
23,24,Carolina Hurricanes,2013-14,82,36,35,0,11,83,34,.506,205,226,2,2.50,2.76,14.6,81.7,31.2,30.9,52.6
24,25,Vancouver Canucks,2013-14,82,36,35,0,11,83,31,.506,191,216,5,2.33,2.63,15.2,83.2,30.8,28.4,51.4
25,26,New York Islanders,2013-14,82,34,37,0,11,79,25,.482,216,261,9,2.63,3.18,17.8,78.1,30.9,30.0,47.2
26,27,Calgary Flames,2013-14,82,35,40,0,7,77,28,.470,202,238,7,2.46,2.90,15.7,81.7,26.8,28.6,46.2
27,28,Edmonton Oilers,2013-14,82,29,44,0,9,67,25,.409,199,267,4,2.43,3.26,17.0,82.1,26.9,32.9,49.0
28,29,Florida Panthers,2013-14,82,29,45,0,8,66,21,.402,188,262,8,2.29,3.20,10.0,75.9,29.9,31.1,48.3
29,30,Buffalo Sabres,2013-14,82,21,51,0,10,52,14,.317,150,243,7,1.83,2.96,14.1,81.4,26.3,34.3,46.8
