,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Calgary Flames,1988-89,80,54,17,9,,117,0,.731,354,226,0,4.42,2.83,25.2,82.8,34.6,25.7,0.0
1,2,Montréal Canadiens,1988-89,80,53,18,9,,115,0,.719,315,218,0,3.94,2.73,21.0,82.2,30.9,26.5,0.0
2,3,Washington Capitals,1988-89,80,41,29,10,,92,0,.575,305,259,0,3.81,3.24,21.8,79.8,31.2,27.6,0.0
3,4,Los Angeles Kings,1988-89,80,42,31,7,,91,0,.569,376,335,0,4.70,4.19,20.6,80.3,31.6,33.7,0.0
4,5,Boston Bruins,1988-89,80,37,29,14,,88,0,.550,289,256,0,3.61,3.20,19.9,82.0,31.4,26.8,0.0
5,6,Pittsburgh Penguins,1988-89,80,40,33,7,,87,0,.544,347,349,0,4.34,4.36,24.5,77.0,28.5,35.7,0.0
6,7,Edmonton Oilers,1988-89,80,38,34,8,,84,0,.525,325,306,0,4.06,3.83,19.8,82.8,27.8,30.4,0.0
7,8,Buffalo Sabres,1988-89,80,38,35,7,,83,0,.519,291,299,0,3.64,3.74,20.5,79.0,27.9,29.7,0.0
8,9,New York Rangers,1988-89,80,37,35,8,,82,0,.513,310,307,0,3.88,3.84,18.6,77.0,34.0,30.7,0.0
9,10,Philadelphia Flyers,1988-89,80,36,36,8,,80,0,.500,307,285,0,3.84,3.56,26.7,81.5,29.9,30.6,0.0
10,11,Detroit Red Wings,1988-89,80,34,34,12,,80,0,.500,313,316,0,3.91,3.95,20.7,81.5,28.7,31.4,0.0
11,12,Hartford Whalers,1988-89,80,37,38,5,,79,0,.494,299,290,0,3.74,3.63,20.8,81.4,30.7,29.1,0.0
12,13,St. Louis Blues,1988-89,80,33,35,12,,78,0,.488,275,285,0,3.44,3.56,20.0,76.7,29.1,28.1,0.0
13,14,Vancouver Canucks,1988-89,80,33,39,8,,74,0,.463,251,253,0,3.14,3.16,19.0,80.8,30.5,28.3,0.0
14,15,Minnesota North Stars,1988-89,80,27,37,16,,70,0,.438,258,278,0,3.23,3.48,20.2,81.2,31.4,32.4,0.0
15,16,Chicago Blackhawks,1988-89,80,27,41,12,,66,0,.413,297,335,0,3.71,4.19,21.0,74.6,32.9,31.4,0.0
16,17,New Jersey Devils,1988-89,80,27,41,12,,66,0,.413,281,325,0,3.51,4.06,18.3,75.4,31.2,29.9,0.0
17,18,Winnipeg Jets (1979),1988-89,80,26,42,12,,64,0,.400,300,355,0,3.75,4.44,22.1,77.8,29.8,32.3,0.0
18,19,Toronto Maple Leafs,1988-89,80,28,46,6,,62,0,.388,259,342,0,3.24,4.28,16.7,72.7,27.1,34.3,0.0
19,20,New York Islanders,1988-89,80,28,47,5,,61,0,.381,265,325,0,3.31,4.06,22.5,73.6,30.4,30.8,0.0
20,21,Quebec Nordiques,1988-89,80,27,46,7,,61,0,.381,269,342,0,3.36,4.28,21.6,78.8,28.4,32.6,0.0
