,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Pittsburgh Penguins,1992-93,84,56,21,7,,119,0,.708,367,268,0,4.37,3.19,23.9,83.2,32.4,30.7,0.0
1,2,Boston Bruins,1992-93,84,51,26,7,,109,0,.649,332,268,0,3.95,3.19,20.9,83.0,34.4,26.1,0.0
2,3,Chicago Blackhawks,1992-93,84,47,25,12,,106,0,.631,279,230,0,3.32,2.74,18.4,83.5,32.2,27.3,0.0
3,4,Quebec Nordiques,1992-93,84,47,27,10,,104,0,.619,351,300,0,4.18,3.57,21.8,80.6,30.0,30.3,0.0
4,5,Detroit Red Wings,1992-93,84,47,28,9,,103,0,.613,369,280,0,4.39,3.33,24.9,81.2,32.9,28.9,0.0
5,6,Montréal Canadiens,1992-93,84,48,30,6,,102,0,.607,326,280,0,3.88,3.33,18.4,82.0,31.8,30.0,0.0
6,7,Vancouver Canucks,1992-93,84,46,29,9,,101,0,.601,346,278,0,4.12,3.31,17.3,78.5,31.7,29.4,0.0
7,8,Toronto Maple Leafs,1992-93,84,44,29,11,,99,0,.589,288,241,0,3.43,2.87,21.0,82.4,30.4,29.0,0.0
8,9,Calgary Flames,1992-93,84,43,30,11,,97,0,.577,322,282,0,3.83,3.36,19.0,83.1,31.4,29.5,0.0
9,10,Washington Capitals,1992-93,84,43,34,7,,93,0,.554,325,286,0,3.87,3.40,21.8,82.9,32.2,28.4,0.0
10,11,Los Angeles Kings,1992-93,84,39,35,10,,88,0,.524,338,340,0,4.02,4.05,20.1,78.4,34.0,34.4,0.0
11,12,Winnipeg Jets (1979),1992-93,84,40,37,7,,87,0,.518,322,320,0,3.83,3.81,20.9,81.7,30.7,32.7,0.0
12,13,New York Islanders,1992-93,84,40,37,7,,87,0,.518,335,297,0,3.99,3.54,21.6,79.5,31.0,29.4,0.0
13,14,New Jersey Devils,1992-93,84,40,37,7,,87,0,.518,308,299,0,3.67,3.56,19.3,81.4,33.0,29.8,0.0
14,15,Buffalo Sabres,1992-93,84,38,36,10,,86,0,.512,335,297,0,3.99,3.54,20.3,83.5,31.8,31.9,0.0
15,16,St. Louis Blues,1992-93,84,37,36,11,,85,0,.506,282,278,0,3.36,3.31,21.9,83.7,29.0,33.8,0.0
16,17,Philadelphia Flyers,1992-93,84,36,37,11,,83,0,.494,319,319,0,3.80,3.80,18.0,77.4,29.8,31.8,0.0
17,18,Minnesota North Stars,1992-93,84,36,38,10,,82,0,.488,272,293,0,3.24,3.49,19.1,82.2,31.8,29.6,0.0
18,19,New York Rangers,1992-93,84,34,39,11,,79,0,.470,304,308,0,3.62,3.67,18.3,81.2,33.3,33.7,0.0
19,20,Edmonton Oilers,1992-93,84,26,50,8,,60,0,.357,242,337,0,2.88,4.01,15.9,77.1,27.9,33.8,0.0
20,21,Hartford Whalers,1992-93,84,26,52,6,,58,0,.345,284,369,0,3.38,4.39,17.6,78.3,26.1,34.1,0.0
21,22,Tampa Bay Lightning,1992-93,84,23,54,7,,53,0,.315,245,332,0,2.92,3.95,17.4,74.4,30.2,30.4,0.0
22,23,San Jose Sharks,1992-93,84,11,71,2,,24,0,.143,218,414,0,2.60,4.93,16.1,76.6,28.4,36.7,0.0
23,24,Ottawa Senators,1992-93,84,10,70,4,,24,0,.143,202,395,0,2.40,4.70,14.7,75.0,27.2,31.8,0.0
