,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Toronto Maple Leafs,1962-63,70,35,23,12,,82,0,.586,221,180,0,3.16,2.57,--,--,33.4,28.0,--
1,2,Chicago Blackhawks,1962-63,70,32,21,17,,81,0,.579,194,178,0,2.77,2.54,--,--,31.1,30.5,--
2,3,Montréal Canadiens,1962-63,70,28,19,23,,79,0,.564,225,183,0,3.21,2.61,--,--,34.8,28.5,--
3,4,Detroit Red Wings,1962-63,70,32,25,13,,77,0,.550,200,194,0,2.86,2.77,--,--,35.1,29.3,--
4,5,New York Rangers,1962-63,70,22,36,12,,56,0,.400,211,233,0,3.01,3.33,--,--,28.3,38.0,--
5,6,Boston Bruins,1962-63,70,14,39,17,,45,0,.321,198,281,0,2.83,4.01,--,--,28.4,36.7,--
