,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Boston Bruins,1930-31,44,28,10,6,,62,0,.705,143,90,0,3.25,2.05,--,--,--,--,--
1,2,Montréal Canadiens,1930-31,44,26,10,8,,60,0,.682,129,89,0,2.93,2.02,--,--,--,--,--
2,3,Toronto Maple Leafs,1930-31,44,22,13,9,,53,0,.602,118,99,0,2.68,2.25,--,--,--,--,--
3,4,Chicago Blackhawks,1930-31,44,24,17,3,,51,0,.580,108,78,0,2.45,1.77,--,--,--,--,--
4,5,New York Rangers,1930-31,44,19,16,9,,47,0,.534,106,87,0,2.41,1.98,--,--,--,--,--
5,6,Montreal Maroons,1930-31,44,20,18,6,,46,0,.523,105,106,0,2.39,2.41,--,--,--,--,--
6,7,New York Americans,1930-31,44,18,16,10,,46,0,.523,76,74,0,1.73,1.68,--,--,--,--,--
7,8,Detroit Falcons,1930-31,44,16,21,7,,39,0,.443,102,105,0,2.32,2.39,--,--,--,--,--
8,9,Ottawa Senators (1917),1930-31,44,10,30,4,,24,0,.273,91,142,0,2.07,3.23,--,--,--,--,--
9,10,Philadelphia Quakers,1930-31,44,4,36,4,,12,0,.136,76,184,0,1.73,4.18,--,--,--,--,--
