,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Philadelphia Flyers,1979-80,80,48,12,20,,116,0,.725,327,254,0,4.09,3.17,16.2,78.8,33.8,27.7,--
1,2,Buffalo Sabres,1979-80,80,47,17,16,,110,0,.688,318,201,0,3.98,2.51,24.4,82.9,29.3,24.0,--
2,3,Montréal Canadiens,1979-80,80,47,20,13,,107,0,.669,328,240,0,4.10,3.00,29.0,81.4,31.6,27.7,--
3,4,Boston Bruins,1979-80,80,46,21,13,,105,0,.656,310,234,0,3.88,2.92,24.6,82.9,27.9,24.1,--
4,5,New York Islanders,1979-80,80,39,28,13,,91,0,.569,280,247,0,3.50,3.09,23.4,77.6,27.7,29.9,--
5,6,Minnesota North Stars,1979-80,80,36,28,16,,88,0,.550,311,253,0,3.89,3.16,23.8,81.9,31.4,28.6,--
6,7,Chicago Blackhawks,1979-80,80,34,27,19,,87,0,.544,241,250,0,3.01,3.13,23.6,80.8,30.2,31.1,--
7,8,New York Rangers,1979-80,80,38,32,10,,86,0,.538,308,284,0,3.85,3.55,25.7,82.2,29.8,28.7,--
8,9,Atlanta Flames,1979-80,80,35,32,13,,83,0,.519,282,269,0,3.52,3.36,23.6,81.0,28.1,30.6,--
9,10,St. Louis Blues,1979-80,80,34,34,12,,80,0,.500,266,278,0,3.33,3.48,18.1,84.5,27.1,30.6,--
10,11,Toronto Maple Leafs,1979-80,80,35,40,5,,75,0,.469,304,327,0,3.80,4.09,24.7,79.1,32.4,33.3,--
11,12,Los Angeles Kings,1979-80,80,30,36,14,,74,0,.463,290,313,0,3.63,3.91,26.8,68.2,29.0,30.7,--
12,13,Pittsburgh Penguins,1979-80,80,30,37,13,,73,0,.456,251,303,0,3.14,3.79,19.8,74.0,30.7,29.9,--
13,14,Hartford Whalers,1979-80,80,27,34,19,,73,0,.456,303,312,0,3.79,3.90,19.5,74.5,27.4,29.6,--
14,15,Vancouver Canucks,1979-80,80,27,37,16,,70,0,.438,256,281,0,3.20,3.51,17.3,75.8,29.1,29.2,--
15,16,Edmonton Oilers,1979-80,80,28,39,13,,69,0,.431,301,322,0,3.76,4.03,22.3,76.4,28.4,30.8,--
16,17,Washington Capitals,1979-80,80,27,40,13,,67,0,.419,261,293,0,3.26,3.66,18.2,73.7,28.4,29.6,--
17,18,Detroit Red Wings,1979-80,80,26,43,11,,63,0,.394,268,306,0,3.35,3.83,22.4,76.3,29.9,28.5,--
18,19,Quebec Nordiques,1979-80,80,25,44,11,,61,0,.381,248,313,0,3.10,3.91,20.8,73.5,27.3,32.5,--
19,20,Winnipeg Jets (1979),1979-80,80,20,49,11,,51,0,.319,214,314,0,2.67,3.92,18.8,77.1,28.3,31.7,--
20,21,Colorado Rockies,1979-80,80,19,48,13,,51,0,.319,234,308,0,2.92,3.85,18.0,77.3,29.4,28.6,--
