,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Detroit Red Wings,1953-54,70,37,19,14,,88,0,.629,191,132,0,2.73,1.89,--,--,--,--,--
1,2,Montréal Canadiens,1953-54,70,35,24,11,,81,0,.579,195,141,0,2.79,2.01,--,--,--,--,--
2,3,Toronto Maple Leafs,1953-54,70,32,24,14,,78,0,.557,152,131,0,2.17,1.87,--,--,--,--,--
3,4,Boston Bruins,1953-54,70,32,28,10,,74,0,.529,177,181,0,2.53,2.59,--,--,--,--,--
4,5,New York Rangers,1953-54,70,29,31,10,,68,0,.486,161,182,0,2.30,2.60,--,--,--,--,--
5,6,Chicago Blackhawks,1953-54,70,12,51,7,,31,0,.221,133,242,0,1.90,3.46,--,--,--,--,--
