,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Montréal Canadiens,1927-28,44,26,11,7,,59,0,.670,116,48,0,2.64,1.09,--,--,--,--,--
1,2,Montreal Maroons,1927-28,44,24,14,6,,54,0,.614,96,77,0,2.18,1.75,--,--,--,--,--
2,3,Boston Bruins,1927-28,44,20,13,11,,51,0,.580,77,70,0,1.75,1.59,--,--,--,--,--
3,4,Ottawa Senators (1917),1927-28,44,20,14,10,,50,0,.568,78,57,0,1.77,1.30,--,--,--,--,--
4,5,New York Rangers,1927-28,44,19,16,9,,47,0,.534,94,79,0,2.14,1.80,--,--,--,--,--
5,6,Pittsburgh Pirates,1927-28,44,19,17,8,,46,0,.523,67,76,0,1.52,1.73,--,--,--,--,--
6,7,Detroit Cougars,1927-28,44,19,19,6,,44,0,.500,88,79,0,2.00,1.80,--,--,--,--,--
7,8,Toronto Maple Leafs,1927-28,44,18,18,8,,44,0,.500,89,88,0,2.02,2.00,--,--,--,--,--
8,9,New York Americans,1927-28,44,11,27,6,,28,0,.318,63,128,0,1.43,2.91,--,--,--,--,--
9,10,Chicago Blackhawks,1927-28,44,7,34,3,,17,0,.193,68,134,0,1.55,3.05,--,--,--,--,--
