,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,St. Louis Blues,1999-00,82,51,19,11,1,114,0,.695,248,165,0,3.02,2.01,17.8,87.8,29.8,22.1,52.1
1,2,Detroit Red Wings,1999-00,82,48,22,10,2,108,0,.659,278,210,0,3.39,2.56,20.4,85.9,32.0,26.5,53.4
2,3,Philadelphia Flyers,1999-00,82,45,22,12,3,105,0,.640,237,179,0,2.89,2.18,20.3,86.7,30.4,23.6,51.7
3,4,New Jersey Devils,1999-00,82,45,24,8,5,103,0,.628,251,203,0,3.06,2.48,20.1,87.5,33.1,25.6,49.3
4,5,Washington Capitals,1999-00,82,44,24,12,2,102,0,.622,227,194,0,2.77,2.37,15.0,86.2,27.7,27.7,53.3
5,6,Dallas Stars,1999-00,82,43,23,10,6,102,0,.622,211,184,0,2.57,2.24,15.7,89.3,25.6,26.6,52.6
6,7,Toronto Maple Leafs,1999-00,82,45,27,7,3,100,0,.610,246,222,0,3.00,2.71,17.8,82.4,26.4,29.1,50.8
7,8,Florida Panthers,1999-00,82,43,27,6,6,98,0,.598,244,209,0,2.98,2.55,17.2,85.4,26.8,29.6,46.2
8,9,Colorado Avalanche,1999-00,82,42,28,11,1,96,0,.585,233,201,0,2.84,2.45,19.5,84.5,26.7,27.8,51.5
9,10,Ottawa Senators,1999-00,82,41,28,11,2,95,0,.579,244,210,0,2.98,2.56,16.8,87.5,31.5,25.2,50.3
10,11,Los Angeles Kings,1999-00,82,39,27,12,4,94,0,.573,245,228,0,2.99,2.78,16.9,82.3,29.5,27.9,51.7
11,12,Phoenix Coyotes,1999-00,82,39,31,8,4,90,0,.549,232,228,0,2.83,2.78,11.9,85.9,27.0,28.5,50.3
12,13,Pittsburgh Penguins,1999-00,82,37,31,8,6,88,0,.537,241,236,0,2.94,2.88,15.6,82.5,26.1,28.7,48.0
13,14,Edmonton Oilers,1999-00,82,32,26,16,8,88,0,.537,226,212,0,2.76,2.59,15.8,85.4,28.2,28.3,51.1
14,15,San Jose Sharks,1999-00,82,35,30,10,7,87,0,.530,225,214,0,2.74,2.61,16.4,83.6,27.4,28.7,49.2
15,16,Buffalo Sabres,1999-00,82,35,32,11,4,85,0,.518,213,204,0,2.60,2.49,10.5,85.0,27.2,26.9,47.9
16,17,Carolina Hurricanes,1999-00,82,37,35,10,0,84,0,.512,217,216,0,2.65,2.63,17.0,84.2,26.4,26.1,50.4
17,18,Montréal Canadiens,1999-00,82,35,34,9,4,83,0,.506,196,194,0,2.39,2.37,16.7,86.8,26.0,27.6,48.8
18,19,Anaheim Ducks,1999-00,82,34,33,12,3,83,0,.506,217,227,0,2.65,2.77,16.6,79.0,28.7,27.5,49.1
19,20,Vancouver Canucks,1999-00,82,30,29,15,8,83,0,.506,227,237,0,2.77,2.89,15.8,80.4,26.7,28.0,49.8
20,21,Chicago Blackhawks,1999-00,82,33,37,10,2,78,0,.476,242,245,0,2.95,2.99,16.0,83.7,25.7,29.2,47.5
21,22,Calgary Flames,1999-00,82,31,36,10,5,77,0,.470,211,256,0,2.57,3.12,17.9,79.7,30.1,29.0,49.2
22,23,New York Rangers,1999-00,82,29,38,12,3,73,0,.445,218,246,0,2.66,3.00,16.9,83.2,29.5,29.8,53.1
23,24,Boston Bruins,1999-00,82,24,33,19,6,73,0,.445,210,248,0,2.56,3.02,14.4,79.5,30.7,27.7,48.9
24,25,Nashville Predators,1999-00,82,28,40,7,7,70,0,.427,199,240,0,2.43,2.93,13.5,85.1,27.0,30.5,49.1
25,26,New York Islanders,1999-00,82,24,48,9,1,58,0,.354,194,275,0,2.37,3.35,14.1,80.0,26.2,33.4,47.9
26,27,Tampa Bay Lightning,1999-00,82,19,47,9,7,54,0,.329,204,310,0,2.49,3.78,14.0,80.7,25.4,30.4,50.4
27,28,Atlanta Thrashers,1999-00,82,14,57,7,4,39,0,.238,170,313,0,2.07,3.82,12.6,80.3,25.8,31.0,46.1
