,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Colorado Avalanche,2000-01,82,52,16,10,4,118,0,.720,270,192,0,3.29,2.34,22.0,82.7,29.2,25.1,51.3
1,2,Detroit Red Wings,2000-01,82,49,20,9,4,111,0,.677,253,202,0,3.09,2.46,22.1,85.7,32.3,27.1,54.4
2,3,New Jersey Devils,2000-01,82,48,19,12,3,111,0,.677,295,195,0,3.60,2.38,22.9,84.7,31.6,24.7,49.4
3,4,Ottawa Senators,2000-01,82,48,21,9,4,109,0,.665,274,205,0,3.34,2.50,18.6,86.4,30.2,27.3,48.5
4,5,Dallas Stars,2000-01,82,48,24,8,2,106,0,.646,241,187,0,2.94,2.28,19.6,86.2,25.6,24.9,51.2
5,6,St. Louis Blues,2000-01,82,43,22,12,5,103,0,.628,249,195,0,3.04,2.38,18.7,85.3,30.4,23.6,51.9
6,7,Philadelphia Flyers,2000-01,82,43,25,11,3,100,0,.610,240,207,0,2.93,2.52,15.7,82.5,29.9,26.1,50.3
7,8,Buffalo Sabres,2000-01,82,46,30,5,1,98,0,.598,218,184,0,2.66,2.24,16.1,88.0,26.9,26.8,50.0
8,9,Pittsburgh Penguins,2000-01,82,42,28,9,3,96,0,.585,281,256,0,3.43,3.12,20.3,80.7,29.2,29.2,46.7
9,10,Washington Capitals,2000-01,82,41,27,10,4,96,0,.585,233,211,0,2.84,2.57,21.2,84.1,28.6,27.7,55.2
10,11,San Jose Sharks,2000-01,82,40,27,12,3,95,0,.579,217,192,0,2.65,2.34,14.0,86.2,27.6,26.5,48.3
11,12,Edmonton Oilers,2000-01,82,39,28,12,3,93,0,.567,243,222,0,2.96,2.71,14.8,83.8,26.2,26.1,51.1
12,13,Los Angeles Kings,2000-01,82,38,28,13,3,92,0,.561,252,228,0,3.07,2.78,19.3,81.2,27.9,26.3,50.7
13,14,Toronto Maple Leafs,2000-01,82,37,29,11,5,90,0,.549,232,207,0,2.83,2.52,16.1,85.0,27.8,27.4,52.8
14,15,Vancouver Canucks,2000-01,82,36,28,11,7,90,0,.549,239,238,0,2.91,2.90,17.1,80.9,29.7,25.9,46.9
15,16,Phoenix Coyotes,2000-01,82,35,27,17,3,90,0,.549,214,212,0,2.61,2.59,16.6,85.2,25.1,29.6,49.8
16,17,Carolina Hurricanes,2000-01,82,38,32,9,3,88,0,.537,212,225,0,2.59,2.74,18.8,87.2,27.0,26.9,54.9
17,18,Boston Bruins,2000-01,82,36,30,8,8,88,0,.537,227,249,0,2.77,3.04,16.4,82.8,28.8,26.7,49.2
18,19,Nashville Predators,2000-01,82,34,36,9,3,80,0,.488,186,200,0,2.27,2.44,14.1,85.2,26.6,28.6,48.4
19,20,Calgary Flames,2000-01,82,27,36,15,4,73,0,.445,197,236,0,2.40,2.88,14.9,79.9,27.2,27.1,51.5
20,21,New York Rangers,2000-01,82,33,43,5,1,72,0,.439,250,290,0,3.05,3.54,17.9,78.5,28.6,31.4,51.2
21,22,Chicago Blackhawks,2000-01,82,29,40,8,5,71,0,.433,210,246,0,2.56,3.00,12.9,83.9,26.3,26.7,49.9
22,23,Columbus Blue Jackets,2000-01,82,28,39,9,6,71,0,.433,190,233,0,2.32,2.84,14.7,80.7,25.4,30.2,50.5
23,24,Montréal Canadiens,2000-01,82,28,40,8,6,70,0,.427,206,232,0,2.51,2.83,16.2,82.2,26.2,28.0,49.5
24,25,Minnesota Wild,2000-01,82,25,39,13,5,68,0,.415,168,210,0,2.05,2.56,9.6,84.7,24.6,28.1,48.1
25,26,Anaheim Ducks,2000-01,82,25,41,11,5,66,0,.402,188,245,0,2.29,2.99,17.7,81.8,25.9,29.5,48.3
26,27,Florida Panthers,2000-01,82,22,38,13,9,66,0,.402,200,246,0,2.44,3.00,13.0,83.9,26.5,31.2,48.5
27,28,Atlanta Thrashers,2000-01,82,23,45,12,2,60,0,.366,211,289,0,2.57,3.52,13.7,77.9,27.9,32.4,46.1
28,29,Tampa Bay Lightning,2000-01,82,24,47,6,5,59,0,.360,201,280,0,2.45,3.41,12.5,82.9,24.6,31.2,46.9
29,30,New York Islanders,2000-01,82,21,51,7,3,52,0,.317,185,268,0,2.26,3.27,13.2,82.2,27.5,29.0,48.7
