,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Detroit Red Wings,2001-02,82,51,17,10,4,116,0,.707,251,187,0,3.06,2.28,20.3,86.0,31.0,26.3,51.4
1,2,Boston Bruins,2001-02,82,43,24,6,9,101,0,.616,236,201,0,2.88,2.45,13.8,87.1,31.7,25.1,47.9
2,3,Toronto Maple Leafs,2001-02,82,43,25,10,4,100,0,.610,249,207,0,3.04,2.52,15.5,84.5,28.5,24.9,51.8
3,4,Colorado Avalanche,2001-02,82,45,28,8,1,99,0,.604,212,169,0,2.59,2.06,18.0,87.0,27.5,26.5,51.4
4,5,San Jose Sharks,2001-02,82,44,27,8,3,99,0,.604,248,199,0,3.02,2.43,16.0,85.8,27.2,28.5,48.9
5,6,St. Louis Blues,2001-02,82,43,27,8,4,98,0,.598,227,188,0,2.77,2.29,17.4,85.2,29.0,22.5,49.9
6,7,Philadelphia Flyers,2001-02,82,42,27,10,3,97,0,.591,234,192,0,2.85,2.34,13.0,86.3,29.8,26.1,49.9
7,8,New York Islanders,2001-02,82,42,28,8,4,96,0,.585,239,220,0,2.91,2.68,16.3,85.8,28.3,27.9,51.7
8,9,Chicago Blackhawks,2001-02,82,41,27,13,1,96,0,.585,216,207,0,2.63,2.52,17.9,81.5,27.7,25.3,47.9
9,10,New Jersey Devils,2001-02,82,41,28,9,4,95,0,.579,205,187,0,2.50,2.28,16.9,83.8,29.8,23.2,49.5
10,11,Los Angeles Kings,2001-02,82,40,27,11,4,95,0,.579,214,190,0,2.61,2.32,20.7,86.6,25.7,25.0,51.2
11,12,Phoenix Coyotes,2001-02,82,40,27,9,6,95,0,.579,228,210,0,2.78,2.56,15.6,83.1,26.6,28.6,48.2
12,13,Vancouver Canucks,2001-02,82,42,30,7,3,94,0,.573,254,211,0,3.10,2.57,18.5,85.0,28.4,25.4,50.7
13,14,Ottawa Senators,2001-02,82,39,27,9,7,94,0,.573,243,208,0,2.96,2.54,16.6,84.4,30.1,25.9,50.1
14,15,Edmonton Oilers,2001-02,82,38,28,12,4,92,0,.561,205,182,0,2.50,2.22,15.3,85.6,27.5,25.9,50.4
15,16,Carolina Hurricanes,2001-02,82,35,26,16,5,91,0,.555,217,217,0,2.65,2.65,16.1,83.7,28.6,27.0,56.1
16,17,Dallas Stars,2001-02,82,36,28,13,5,90,0,.549,215,213,0,2.62,2.60,17.1,81.5,28.5,26.0,52.8
17,18,Montréal Canadiens,2001-02,82,36,31,12,3,87,0,.530,207,209,0,2.52,2.55,14.9,86.3,25.5,31.7,52.8
18,19,Washington Capitals,2001-02,82,36,33,11,2,85,0,.518,228,240,0,2.78,2.93,19.4,82.2,28.0,28.7,53.3
19,20,Buffalo Sabres,2001-02,82,35,35,11,1,82,0,.500,213,200,0,2.60,2.44,13.3,86.5,28.0,25.9,47.4
20,21,New York Rangers,2001-02,82,36,38,4,4,80,0,.488,227,258,0,2.77,3.15,14.7,79.9,29.2,31.9,50.7
21,22,Calgary Flames,2001-02,82,32,35,12,3,79,0,.482,201,220,0,2.45,2.68,15.1,81.5,26.9,27.3,52.5
22,23,Minnesota Wild,2001-02,82,26,35,12,9,73,0,.445,195,238,0,2.38,2.90,14.7,82.9,23.8,28.0,48.5
23,24,Anaheim Ducks,2001-02,82,29,42,8,3,69,0,.421,175,198,0,2.13,2.41,11.5,86.1,26.1,27.5,51.0
24,25,Pittsburgh Penguins,2001-02,82,28,41,8,5,69,0,.421,198,249,0,2.41,3.04,14.0,83.8,27.0,29.2,47.1
25,26,Nashville Predators,2001-02,82,28,41,13,0,69,0,.421,196,230,0,2.39,2.80,14.2,85.9,24.6,28.2,46.9
26,27,Tampa Bay Lightning,2001-02,82,27,40,11,4,69,0,.421,178,219,0,2.17,2.67,14.7,85.3,26.6,30.8,47.0
27,28,Florida Panthers,2001-02,82,22,44,10,6,60,0,.366,180,250,0,2.20,3.05,14.7,80.7,26.9,32.5,46.1
28,29,Columbus Blue Jackets,2001-02,82,22,47,8,5,57,0,.348,164,255,0,2.00,3.11,14.0,83.0,25.0,30.1,50.0
29,30,Atlanta Thrashers,2001-02,82,19,47,11,5,54,0,.329,187,288,0,2.28,3.51,12.1,81.8,24.2,35.5,46.3
