,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Ottawa Senators,2002-03,82,52,21,8,1,113,0,.689,263,182,0,3.21,2.22,21.2,84.9,29.8,24.8,47.0
1,2,Dallas Stars,2002-03,82,46,17,15,4,111,0,.677,245,169,0,2.99,2.06,19.0,85.5,30.1,25.3,50.2
2,3,Detroit Red Wings,2002-03,82,48,20,10,4,110,0,.671,269,203,0,3.28,2.48,23.8,85.4,29.8,28.8,52.2
3,4,New Jersey Devils,2002-03,82,46,20,10,6,108,0,.659,216,166,0,2.63,2.02,11.9,87.9,31.7,23.6,50.7
4,5,Philadelphia Flyers,2002-03,82,45,20,13,4,107,0,.652,211,166,0,2.57,2.02,14.3,85.2,30.9,24.6,52.2
5,6,Colorado Avalanche,2002-03,82,42,19,13,8,105,0,.640,251,194,0,3.06,2.37,18.7,82.5,29.1,28.3,47.9
6,7,Vancouver Canucks,2002-03,82,45,23,13,1,104,0,.634,264,208,0,3.22,2.54,20.8,84.1,29.1,26.6,49.8
7,8,St. Louis Blues,2002-03,82,41,24,11,6,99,0,.604,253,222,0,3.09,2.71,20.5,81.7,28.1,25.0,49.0
8,9,Toronto Maple Leafs,2002-03,82,44,28,7,3,98,0,.598,236,208,0,2.88,2.54,17.5,86.9,26.3,29.5,50.7
9,10,Minnesota Wild,2002-03,82,42,29,10,1,95,0,.579,198,178,0,2.41,2.17,14.2,86.0,25.4,28.5,46.8
10,11,Anaheim Ducks,2002-03,82,40,27,9,6,95,0,.579,203,193,0,2.48,2.35,16.1,87.4,27.4,29.0,55.2
11,12,Tampa Bay Lightning,2002-03,82,36,25,16,5,93,0,.567,219,210,0,2.67,2.56,17.9,82.6,29.2,28.0,50.2
12,13,Washington Capitals,2002-03,82,39,29,8,6,92,0,.561,224,220,0,2.73,2.68,17.2,81.3,27.1,29.9,49.2
13,14,Edmonton Oilers,2002-03,82,36,26,11,9,92,0,.561,231,230,0,2.82,2.80,14.5,82.6,28.0,27.4,51.1
14,15,Boston Bruins,2002-03,82,36,31,11,4,87,0,.530,245,237,0,2.99,2.89,18.1,82.7,32.1,28.3,49.6
15,16,New York Islanders,2002-03,82,35,34,11,2,83,0,.506,224,231,0,2.73,2.82,15.1,83.5,29.6,28.3,51.1
16,17,Chicago Blackhawks,2002-03,82,30,33,13,6,79,0,.482,207,226,0,2.52,2.76,12.7,84.8,27.8,28.6,50.0
17,18,Los Angeles Kings,2002-03,82,33,37,6,6,78,0,.476,203,221,0,2.48,2.70,14.7,83.3,27.7,26.1,49.0
18,19,New York Rangers,2002-03,82,32,36,10,4,78,0,.476,210,231,0,2.56,2.82,16.2,81.2,30.1,29.6,53.3
19,20,Phoenix Coyotes,2002-03,82,31,35,11,5,78,0,.476,204,230,0,2.49,2.80,14.3,81.3,28.0,30.0,46.6
20,21,Montréal Canadiens,2002-03,82,30,35,8,9,77,0,.470,206,234,0,2.51,2.85,14.0,81.7,25.8,32.7,52.7
21,22,Calgary Flames,2002-03,82,29,36,13,4,75,0,.457,186,228,0,2.27,2.78,12.1,83.3,28.5,27.1,53.9
22,23,Atlanta Thrashers,2002-03,82,31,39,7,5,74,0,.451,226,284,0,2.76,3.46,17.3,81.7,26.4,31.6,45.9
23,24,Nashville Predators,2002-03,82,27,35,13,7,74,0,.451,183,206,0,2.23,2.51,13.9,82.7,28.2,27.5,48.5
24,25,San Jose Sharks,2002-03,82,28,37,9,8,73,0,.445,214,239,0,2.61,2.91,18.1,81.0,28.1,29.2,50.3
25,26,Buffalo Sabres,2002-03,82,27,37,10,8,72,0,.439,190,219,0,2.32,2.67,14.4,85.4,28.6,28.0,50.1
26,27,Florida Panthers,2002-03,82,24,36,13,9,70,0,.427,176,237,0,2.15,2.89,14.1,81.5,27.2,33.2,46.2
27,28,Columbus Blue Jackets,2002-03,82,29,42,8,3,69,0,.421,213,263,0,2.60,3.21,17.3,85.3,26.1,32.2,48.6
28,29,Pittsburgh Penguins,2002-03,82,27,44,6,5,65,0,.396,189,255,0,2.30,3.11,18.3,83.5,25.4,30.9,49.5
29,30,Carolina Hurricanes,2002-03,82,22,43,11,6,61,0,.372,171,240,0,2.09,2.93,13.8,81.9,29.4,28.4,52.9
