,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Montréal Canadiens,1959-60,70,40,18,12,,92,0,.657,255,178,0,3.64,2.54,--,--,35.6,29.8,--
1,2,Toronto Maple Leafs,1959-60,70,35,26,9,,79,0,.564,199,195,0,2.84,2.79,--,--,30.7,33.2,--
2,3,Chicago Blackhawks,1959-60,70,28,29,13,,69,0,.493,191,180,0,2.73,2.57,--,--,30.4,31.2,--
3,4,Detroit Red Wings,1959-60,70,26,29,15,,67,0,.479,186,197,0,2.66,2.81,--,--,33.2,28.9,--
4,5,Boston Bruins,1959-60,70,28,34,8,,64,0,.457,220,241,0,3.14,3.44,--,--,29.3,33.1,--
5,6,New York Rangers,1959-60,70,17,38,15,,49,0,.350,187,247,0,2.67,3.53,--,--,30.5,33.6,--
