,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Colorado Avalanche,1996-97,82,49,24,9,,107,0,.652,277,205,0,3.38,2.50,20.6,87.6,32.0,30.2,0.0
1,2,Dallas Stars,1996-97,82,48,26,8,,104,0,.634,252,198,0,3.07,2.41,14.6,83.4,29.7,25.3,0.0
2,3,New Jersey Devils,1996-97,82,45,23,14,,104,0,.634,231,182,0,2.82,2.22,13.9,88.1,31.6,26.3,0.0
3,4,Philadelphia Flyers,1996-97,82,45,24,13,,103,0,.628,274,217,0,3.34,2.65,14.6,85.7,32.2,25.7,0.0
4,5,Detroit Red Wings,1996-97,82,38,26,18,,94,0,.573,253,197,0,3.09,2.40,17.9,86.7,33.2,25.3,0.0
5,6,Buffalo Sabres,1996-97,82,40,30,12,,92,0,.561,237,208,0,2.89,2.54,13.2,83.8,25.5,33.3,0.0
6,7,Florida Panthers,1996-97,82,35,28,19,,89,0,.543,221,201,0,2.70,2.45,14.2,85.5,29.1,28.8,0.0
7,8,New York Rangers,1996-97,82,38,34,10,,86,0,.524,258,231,0,3.15,2.82,21.9,79.9,30.8,31.6,0.0
8,9,Anaheim Ducks,1996-97,82,36,33,13,,85,0,.518,245,233,0,2.99,2.84,16.8,81.5,28.4,32.8,0.0
9,10,Pittsburgh Penguins,1996-97,82,38,36,8,,84,0,.512,285,280,0,3.48,3.41,21.8,81.1,29.4,34.3,0.0
10,11,Phoenix Coyotes,1996-97,82,38,37,7,,83,0,.506,240,243,0,2.93,2.96,18.1,85.9,30.1,30.7,0.0
11,12,St. Louis Blues,1996-97,82,36,35,11,,83,0,.506,236,239,0,2.88,2.91,15.3,83.4,29.5,27.4,0.0
12,13,Edmonton Oilers,1996-97,82,36,37,9,,81,0,.494,252,247,0,3.07,3.01,18.0,82.5,30.7,31.2,0.0
13,14,Chicago Blackhawks,1996-97,82,34,35,13,,81,0,.494,223,210,0,2.72,2.56,14.8,84.2,30.4,29.5,0.0
14,15,Vancouver Canucks,1996-97,82,35,40,7,,77,0,.470,257,273,0,3.13,3.33,16.8,80.8,28.1,30.2,0.0
15,16,Montréal Canadiens,1996-97,82,31,36,15,,77,0,.470,249,276,0,3.04,3.37,15.7,79.5,30.2,33.9,0.0
16,17,Ottawa Senators,1996-97,82,31,36,15,,77,0,.470,226,234,0,2.76,2.85,16.7,81.9,29.2,25.8,0.0
17,18,Washington Capitals,1996-97,82,33,40,9,,75,0,.457,214,231,0,2.61,2.82,15.8,84.7,28.9,26.4,0.0
18,19,Hartford Whalers,1996-97,82,32,39,11,,75,0,.457,226,256,0,2.76,3.12,18.1,84.6,29.7,31.5,0.0
19,20,Tampa Bay Lightning,1996-97,82,32,40,10,,74,0,.451,217,247,0,2.65,3.01,13.8,84.8,31.4,28.8,0.0
20,21,Calgary Flames,1996-97,82,32,41,9,,73,0,.445,214,239,0,2.61,2.91,16.9,83.2,31.4,28.5,0.0
21,22,New York Islanders,1996-97,82,29,41,12,,70,0,.427,240,250,0,2.93,3.05,13.9,83.4,26.7,30.3,0.0
22,23,Toronto Maple Leafs,1996-97,82,30,44,8,,68,0,.415,230,273,0,2.80,3.33,15.5,82.0,29.3,34.4,0.0
23,24,Los Angeles Kings,1996-97,82,28,43,11,,67,0,.409,214,268,0,2.61,3.27,13.6,87.2,29.0,33.9,0.0
24,25,San Jose Sharks,1996-97,82,27,47,8,,62,0,.378,211,278,0,2.57,3.39,14.3,83.9,28.8,29.2,0.0
25,26,Boston Bruins,1996-97,82,26,47,9,,61,0,.372,234,300,0,2.85,3.66,14.8,81.8,29.6,29.6,0.0
