,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Boston Bruins,1989-90,80,46,25,9,,101,0,.631,289,232,0,3.61,2.90,23.6,83.2,32.6,26.8,0.0
1,2,Calgary Flames,1989-90,80,42,23,15,,99,0,.619,348,265,0,4.35,3.31,27.7,79.2,34.4,25.3,0.0
2,3,Buffalo Sabres,1989-90,80,45,27,8,,98,0,.613,286,248,0,3.58,3.10,22.1,83.5,30.2,31.6,0.0
3,4,Montréal Canadiens,1989-90,80,41,28,11,,93,0,.581,288,234,0,3.60,2.92,15.9,80.7,31.1,28.8,0.0
4,5,Edmonton Oilers,1989-90,80,38,28,14,,90,0,.563,315,283,0,3.94,3.54,20.6,80.3,28.1,29.1,0.0
5,6,Chicago Blackhawks,1989-90,80,41,33,6,,88,0,.550,316,294,0,3.95,3.67,22.9,80.2,33.0,27.4,0.0
6,7,Hartford Whalers,1989-90,80,38,33,9,,85,0,.531,275,268,0,3.44,3.35,20.1,81.5,28.3,26.6,0.0
7,8,Winnipeg Jets (1979),1989-90,80,37,32,11,,85,0,.531,298,290,0,3.73,3.63,18.7,82.9,30.4,29.7,0.0
8,9,New York Rangers,1989-90,80,36,31,13,,85,0,.531,279,267,0,3.49,3.34,23.3,78.7,29.8,30.0,0.0
9,10,New Jersey Devils,1989-90,80,37,34,9,,83,0,.519,295,288,0,3.69,3.60,19.0,80.3,30.8,30.7,0.0
10,11,St. Louis Blues,1989-90,80,37,34,9,,83,0,.519,295,279,0,3.69,3.49,22.5,80.9,29.2,29.5,0.0
11,12,Toronto Maple Leafs,1989-90,80,38,38,4,,80,0,.500,337,358,0,4.21,4.47,23.3,78.2,30.4,35.0,0.0
12,13,Washington Capitals,1989-90,80,36,38,6,,78,0,.488,284,275,0,3.55,3.44,17.0,80.8,30.3,29.1,0.0
13,14,Minnesota North Stars,1989-90,80,36,40,4,,76,0,.475,284,291,0,3.55,3.64,21.0,81.4,32.1,30.3,0.0
14,15,Los Angeles Kings,1989-90,80,34,39,7,,75,0,.469,338,337,0,4.22,4.21,22.1,75.9,29.6,31.0,0.0
15,16,New York Islanders,1989-90,80,31,38,11,,73,0,.456,281,288,0,3.51,3.60,23.6,76.5,29.5,33.5,0.0
16,17,Pittsburgh Penguins,1989-90,80,32,40,8,,72,0,.450,318,359,0,3.98,4.49,21.3,74.7,29.0,33.5,0.0
17,18,Philadelphia Flyers,1989-90,80,30,39,11,,71,0,.444,290,297,0,3.63,3.71,19.2,81.0,30.9,31.8,0.0
18,19,Detroit Red Wings,1989-90,80,28,38,14,,70,0,.438,288,323,0,3.60,4.04,16.4,75.3,28.3,31.1,0.0
19,20,Vancouver Canucks,1989-90,80,25,41,14,,64,0,.400,245,306,0,3.06,3.83,17.1,74.9,28.8,30.3,0.0
20,21,Quebec Nordiques,1989-90,80,12,61,7,,31,0,.194,240,407,0,3.00,5.09,18.9,74.3,28.8,34.4,0.0
