,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,New York Rangers,2014-15,82,53,22,0,7,113,49,.689,248,187,4,3.02,2.28,16.8,84.3,31.5,29.5,46.7
1,2,Montréal Canadiens,2014-15,82,50,22,0,10,110,43,.671,214,184,7,2.61,2.24,16.5,83.7,28.5,30.1,52.1
2,3,Anaheim Ducks,2014-15,82,51,24,0,7,109,43,.665,228,221,8,2.78,2.70,15.7,81.0,30.0,28.9,51.6
3,4,St. Louis Blues,2014-15,82,51,24,0,7,109,42,.665,239,197,9,2.91,2.40,22.3,83.7,30.9,27.2,53.4
4,5,Tampa Bay Lightning,2014-15,82,50,24,0,8,108,47,.659,259,206,3,3.16,2.51,18.8,83.7,29.6,27.9,49.7
5,6,Nashville Predators,2014-15,82,47,25,0,10,104,41,.634,226,202,6,2.76,2.46,16.2,80.8,31.9,28.3,48.9
6,7,Chicago Blackhawks,2014-15,82,48,28,0,6,102,39,.622,220,186,9,2.68,2.27,17.6,83.4,33.9,30.2,52.0
7,8,Vancouver Canucks,2014-15,82,48,29,0,5,101,42,.616,236,220,6,2.88,2.68,19.3,85.7,29.9,29.8,46.7
8,9,New York Islanders,2014-15,82,47,28,0,7,101,40,.616,245,224,7,2.99,2.73,18.7,78.0,33.8,28.3,49.2
9,10,Washington Capitals,2014-15,82,45,26,0,11,101,40,.616,237,199,5,2.89,2.43,25.3,81.2,29.5,28.9,51.2
10,11,Minnesota Wild,2014-15,82,46,28,0,8,100,42,.610,227,198,4,2.77,2.41,15.8,86.3,30.8,27.6,49.9
11,12,Detroit Red Wings,2014-15,82,43,25,0,14,100,39,.610,231,211,4,2.82,2.57,23.8,80.9,29.6,28.3,51.5
12,13,Winnipeg Jets,2014-15,82,43,26,0,13,99,36,.604,223,204,7,2.72,2.49,17.8,81.8,29.7,28.7,48.9
13,14,Ottawa Senators,2014-15,82,43,26,0,13,99,37,.604,232,208,6,2.83,2.54,16.8,82.9,31.0,32.1,48.2
14,15,Pittsburgh Penguins,2014-15,82,43,27,0,12,98,39,.598,217,204,4,2.65,2.49,19.3,84.8,31.6,29.3,49.1
15,16,Calgary Flames,2014-15,82,45,30,0,7,97,41,.591,237,213,4,2.89,2.60,18.8,80.6,27.5,29.2,47.4
16,17,Boston Bruins,2014-15,82,41,27,0,14,96,37,.585,209,201,4,2.55,2.45,17.8,82.0,31.0,29.9,53.6
17,18,Los Angeles Kings,2014-15,82,40,27,0,15,95,38,.579,218,197,2,2.66,2.40,19.0,80.9,30.9,27.0,51.3
18,19,Dallas Stars,2014-15,82,41,31,0,10,92,37,.561,257,257,4,3.13,3.13,19.0,80.7,31.2,29.9,51.7
19,20,Florida Panthers,2014-15,82,38,29,0,15,91,30,.555,198,213,8,2.41,2.60,16.3,80.0,30.7,29.6,48.6
20,21,Colorado Avalanche,2014-15,82,39,31,0,12,90,29,.549,209,223,10,2.55,2.72,15.0,84.6,27.9,33.2,50.8
21,22,Columbus Blue Jackets,2014-15,82,42,35,0,5,89,33,.543,227,248,9,2.77,3.02,21.7,80.2,28.9,33.4,49.3
22,23,San Jose Sharks,2014-15,82,40,33,0,9,89,36,.543,224,226,4,2.73,2.76,21.6,78.5,31.6,29.7,51.9
23,24,Philadelphia Flyers,2014-15,82,33,31,0,18,84,30,.512,212,223,3,2.59,2.72,23.4,77.1,29.4,30.3,51.1
24,25,New Jersey Devils,2014-15,82,32,36,0,14,78,27,.476,176,209,5,2.15,2.55,19.3,80.6,24.5,30.7,47.3
25,26,Carolina Hurricanes,2014-15,82,30,41,0,11,71,25,.433,183,219,5,2.23,2.67,18.8,84.7,30.8,27.3,53.0
26,27,Toronto Maple Leafs,2014-15,82,30,44,0,8,68,25,.415,206,257,5,2.51,3.13,15.9,80.5,29.2,33.5,49.0
27,28,Edmonton Oilers,2014-15,82,24,44,0,14,62,19,.378,193,276,5,2.35,3.37,17.7,76.7,28.4,30.0,48.2
28,29,Arizona Coyotes,2014-15,82,24,50,0,8,56,19,.341,165,267,5,2.01,3.26,20.0,76.7,29.2,33.2,51.8
29,30,Buffalo Sabres,2014-15,82,23,51,0,8,54,15,.329,153,269,8,1.87,3.28,13.4,75.1,24.2,35.6,44.9
