,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Montréal Canadiens,1957-58,70,43,17,10,,96,0,.686,250,158,0,3.57,2.26,--,--,34.6,27.6,--
1,2,New York Rangers,1957-58,70,32,25,13,,77,0,.550,195,188,0,2.79,2.69,--,--,28.3,32.7,--
2,3,Detroit Red Wings,1957-58,70,29,29,12,,70,0,.500,176,207,0,2.51,2.96,--,--,30.6,31.0,--
3,4,Boston Bruins,1957-58,70,27,28,15,,69,0,.493,199,194,0,2.84,2.77,--,--,31.3,30.6,--
4,5,Chicago Blackhawks,1957-58,70,24,39,7,,55,0,.393,163,202,0,2.33,2.89,--,--,27.2,30.3,--
5,6,Toronto Maple Leafs,1957-58,70,21,38,11,,53,0,.379,192,226,0,2.74,3.23,--,--,30.4,30.2,--
