,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Edmonton Oilers,1986-87,80,50,24,6,,106,0,.663,372,284,0,4.65,3.55,22.4,80.0,29.5,29.6,--
1,2,Philadelphia Flyers,1986-87,80,46,26,8,,100,0,.625,310,245,0,3.88,3.06,19.0,82.2,30.2,30.7,--
2,3,Calgary Flames,1986-87,80,46,31,3,,95,0,.594,318,289,0,3.98,3.61,25.0,79.8,31.6,30.3,--
3,4,Hartford Whalers,1986-87,80,43,30,7,,93,0,.581,287,270,0,3.59,3.38,20.8,78.7,30.1,28.0,--
4,5,Montréal Canadiens,1986-87,80,41,29,10,,92,0,.575,277,241,0,3.46,3.01,21.0,83.3,28.0,27.1,--
5,6,Winnipeg Jets (1979),1986-87,80,40,32,8,,88,0,.550,279,271,0,3.49,3.39,17.3,83.6,30.7,27.5,--
6,7,Washington Capitals,1986-87,80,38,32,10,,86,0,.538,285,278,0,3.56,3.48,19.2,80.8,28.4,29.5,--
7,8,Boston Bruins,1986-87,80,39,34,7,,85,0,.531,301,276,0,3.76,3.45,19.6,81.5,30.1,29.6,--
8,9,New York Islanders,1986-87,80,35,33,12,,82,0,.513,279,281,0,3.49,3.51,25.1,78.0,31.0,27.8,--
9,10,St. Louis Blues,1986-87,80,32,33,15,,79,0,.494,281,293,0,3.51,3.66,24.6,81.4,29.3,29.6,--
10,11,Detroit Red Wings,1986-87,80,34,36,10,,78,0,.488,260,274,0,3.25,3.42,20.5,78.6,27.2,28.8,--
11,12,New York Rangers,1986-87,80,34,38,8,,76,0,.475,307,323,0,3.84,4.04,19.9,81.1,30.9,32.0,--
12,13,Quebec Nordiques,1986-87,80,31,39,10,,72,0,.450,267,276,0,3.34,3.45,22.0,83.8,29.8,29.1,--
13,14,Pittsburgh Penguins,1986-87,80,30,38,12,,72,0,.450,297,290,0,3.71,3.63,20.8,76.1,30.3,29.4,--
14,15,Chicago Blackhawks,1986-87,80,29,37,14,,72,0,.450,290,310,0,3.63,3.88,17.0,76.2,32.0,33.9,--
15,16,Toronto Maple Leafs,1986-87,80,32,42,6,,70,0,.438,286,319,0,3.58,3.99,17.2,78.0,30.1,32.4,--
16,17,Los Angeles Kings,1986-87,80,31,41,8,,70,0,.438,318,341,0,3.98,4.26,25.3,73.1,30.9,31.1,--
17,18,Minnesota North Stars,1986-87,80,30,40,10,,70,0,.438,296,314,0,3.70,3.92,22.8,75.6,30.7,32.5,--
18,19,Vancouver Canucks,1986-87,80,29,43,8,,66,0,.413,282,314,0,3.52,3.92,23.3,75.9,29.7,28.5,--
19,20,New Jersey Devils,1986-87,80,29,45,6,,64,0,.400,293,368,0,3.66,4.60,21.9,73.2,29.5,33.6,--
20,21,Buffalo Sabres,1986-87,80,28,44,8,,64,0,.400,280,308,0,3.50,3.85,18.6,75.6,30.3,29.1,--
