,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Washington Capitals,2015-16,82,56,18,0,8,120,52,.732,248,191,4,3.02,2.33,21.9,85.2,30.6,28.4,49.6
1,2,Dallas Stars,2015-16,82,50,23,0,9,109,48,.665,265,228,2,3.23,2.78,22.1,82.3,32.0,28.9,50.2
2,3,St. Louis Blues,2015-16,82,49,24,0,9,107,44,.652,219,197,5,2.67,2.40,21.5,85.1,30.2,29.7,51.3
3,4,Pittsburgh Penguins,2015-16,82,48,26,0,8,104,44,.634,241,199,4,2.94,2.43,18.4,84.4,33.2,29.7,50.2
4,5,Florida Panthers,2015-16,82,47,26,0,9,103,40,.628,232,200,7,2.83,2.44,16.9,79.5,28.8,29.5,50.1
5,6,Chicago Blackhawks,2015-16,82,47,26,0,9,103,46,.628,234,207,1,2.85,2.52,22.6,80.3,30.5,30.8,49.3
6,7,Anaheim Ducks,2015-16,82,46,25,0,11,103,43,.628,215,188,3,2.62,2.29,23.1,87.2,30.3,27.5,51.9
7,8,Los Angeles Kings,2015-16,82,48,28,0,6,102,46,.622,223,192,2,2.72,2.34,20.0,81.4,32.0,27.5,50.5
8,9,New York Rangers,2015-16,82,46,27,0,9,101,43,.616,233,215,3,2.84,2.62,18.6,78.2,28.5,30.4,49.2
9,10,New York Islanders,2015-16,82,45,27,0,10,100,40,.610,227,211,5,2.77,2.57,18.3,84.5,29.4,30.4,50.1
10,11,San Jose Sharks,2015-16,82,46,30,0,6,98,42,.598,237,207,4,2.89,2.52,22.5,80.5,30.4,27.4,50.7
11,12,Tampa Bay Lightning,2015-16,82,46,31,0,5,97,43,.591,224,198,3,2.73,2.41,15.8,84.0,29.3,28.9,49.5
12,13,Nashville Predators,2015-16,82,41,27,0,14,96,37,.585,224,213,4,2.73,2.60,19.7,81.2,30.6,27.3,48.7
13,14,Philadelphia Flyers,2015-16,82,41,27,0,14,96,38,.585,211,210,3,2.57,2.56,18.9,80.5,31.0,30.7,51.0
14,15,Boston Bruins,2015-16,82,42,31,0,9,93,38,.567,236,228,4,2.88,2.78,20.5,82.2,32.0,30.4,50.4
15,16,Detroit Red Wings,2015-16,82,41,30,0,11,93,39,.567,209,219,2,2.55,2.67,18.8,81.5,29.7,29.7,50.5
16,17,Minnesota Wild,2015-16,82,38,33,0,11,87,35,.530,213,204,3,2.60,2.49,18.5,77.9,29.0,28.6,52.5
17,18,Carolina Hurricanes,2015-16,82,35,31,0,16,86,33,.524,196,221,2,2.39,2.70,16.8,84.3,29.9,27.6,53.7
18,19,Ottawa Senators,2015-16,82,38,35,0,9,85,32,.518,230,241,6,2.80,2.94,15.8,75.8,28.4,32.8,50.5
19,20,New Jersey Devils,2015-16,82,38,36,0,8,84,36,.512,182,202,2,2.22,2.46,19.9,83.0,24.4,28.6,46.4
20,21,Colorado Avalanche,2015-16,82,39,39,0,4,82,35,.500,212,240,4,2.59,2.93,18.0,80.2,28.6,32.3,49.9
21,22,Montréal Canadiens,2015-16,82,38,38,0,6,82,33,.500,216,233,5,2.63,2.84,16.2,81.9,30.5,29.4,50.3
22,23,Buffalo Sabres,2015-16,82,35,36,0,11,81,33,.494,199,215,2,2.43,2.62,18.9,82.6,29.5,30.6,49.4
23,24,Arizona Coyotes,2015-16,82,35,39,0,8,78,34,.476,208,244,1,2.54,2.98,17.7,77.3,27.6,31.0,54.7
24,25,Winnipeg Jets,2015-16,82,35,39,0,8,78,32,.476,212,236,3,2.59,2.88,14.8,78.4,29.6,29.5,46.7
25,26,Calgary Flames,2015-16,82,35,40,0,7,77,33,.470,229,257,2,2.79,3.13,17.0,75.5,29.2,29.0,48.6
26,27,Columbus Blue Jackets,2015-16,82,34,40,0,8,76,28,.463,213,248,6,2.60,3.02,17.3,81.0,29.1,31.1,49.0
27,28,Vancouver Canucks,2015-16,82,31,38,0,13,75,26,.457,186,239,5,2.27,2.91,15.8,81.1,28.2,32.5,45.4
28,29,Edmonton Oilers,2015-16,82,31,43,0,8,70,27,.427,199,242,4,2.43,2.95,18.1,81.1,29.1,31.1,48.8
29,30,Toronto Maple Leafs,2015-16,82,29,42,0,11,69,23,.421,192,240,6,2.34,2.93,15.4,81.6,30.7,30.5,50.6
