,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Philadelphia Flyers,1984-85,80,53,20,7,,113,0,.706,348,241,0,4.35,3.01,22.3,79.8,33.7,29.8,--
1,2,Edmonton Oilers,1984-85,80,49,20,11,,109,0,.681,401,298,0,5.01,3.73,25.7,78.3,32.4,32.9,--
2,3,Washington Capitals,1984-85,80,46,25,9,,101,0,.631,322,240,0,4.03,3.00,23.8,77.1,31.9,25.8,--
3,4,Winnipeg Jets (1979),1984-85,80,43,27,10,,96,0,.600,358,332,0,4.47,4.15,24.0,77.6,31.9,31.7,--
4,5,Calgary Flames,1984-85,80,41,27,12,,94,0,.588,363,302,0,4.54,3.77,24.8,74.2,34.9,31.2,--
5,6,Montréal Canadiens,1984-85,80,41,27,12,,94,0,.588,309,262,0,3.86,3.27,24.0,79.2,30.2,24.6,--
6,7,Quebec Nordiques,1984-85,80,41,30,9,,91,0,.569,323,275,0,4.04,3.44,20.9,78.2,30.4,27.6,--
7,8,Buffalo Sabres,1984-85,80,38,28,14,,90,0,.563,290,237,0,3.63,2.96,24.1,82.4,28.9,23.8,--
8,9,New York Islanders,1984-85,80,40,34,6,,86,0,.538,345,312,0,4.31,3.90,25.1,82.2,30.2,32.4,--
9,10,St. Louis Blues,1984-85,80,37,31,12,,86,0,.538,299,288,0,3.74,3.60,21.9,76.1,31.1,29.8,--
10,11,Chicago Blackhawks,1984-85,80,38,35,7,,83,0,.519,309,299,0,3.86,3.74,21.8,77.2,30.0,33.1,--
11,12,Boston Bruins,1984-85,80,36,34,10,,82,0,.513,303,287,0,3.79,3.59,21.8,79.8,30.0,27.2,--
12,13,Los Angeles Kings,1984-85,80,34,32,14,,82,0,.513,339,326,0,4.24,4.08,23.5,81.9,31.9,30.3,--
13,14,Hartford Whalers,1984-85,80,30,41,9,,69,0,.431,268,318,0,3.35,3.98,22.9,80.4,27.5,30.2,--
14,15,Detroit Red Wings,1984-85,80,27,41,12,,66,0,.413,313,357,0,3.91,4.46,22.1,73.4,28.4,31.5,--
15,16,New York Rangers,1984-85,80,26,44,10,,62,0,.388,295,345,0,3.69,4.31,24.0,80.6,29.8,35.1,--
16,17,Minnesota North Stars,1984-85,80,25,43,12,,62,0,.388,268,321,0,3.35,4.01,21.3,75.8,31.1,32.1,--
17,18,Vancouver Canucks,1984-85,80,25,46,9,,59,0,.369,284,401,0,3.55,5.01,19.5,70.5,31.2,33.3,--
18,19,New Jersey Devils,1984-85,80,22,48,10,,54,0,.338,264,346,0,3.30,4.33,19.4,76.7,29.7,29.9,--
19,20,Pittsburgh Penguins,1984-85,80,24,51,5,,53,0,.331,276,385,0,3.45,4.81,17.3,76.0,28.1,37.0,--
20,21,Toronto Maple Leafs,1984-85,80,20,52,8,,48,0,.300,253,358,0,3.16,4.47,19.8,73.9,29.1,32.9,--
