,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Vancouver Canucks,2011-12,82,51,22,0,9,111,43,.677,241,191,8,2.94,2.33,19.8,86.0,31.5,30.8,52.1
1,2,New York Rangers,2011-12,82,51,24,0,7,109,47,.665,222,182,4,2.71,2.22,15.7,86.2,28.5,27.8,49.9
2,3,St. Louis Blues,2011-12,82,49,22,0,11,109,45,.665,206,155,4,2.51,1.89,16.7,85.8,30.6,26.7,50.4
3,4,Pittsburgh Penguins,2011-12,82,51,25,0,6,108,42,.659,273,218,9,3.33,2.66,19.7,87.8,33.9,27.4,50.4
4,5,Nashville Predators,2011-12,82,48,26,0,8,104,43,.634,232,205,5,2.83,2.50,21.6,83.6,27.6,30.8,49.0
5,6,Philadelphia Flyers,2011-12,82,47,26,0,9,103,43,.628,260,225,4,3.17,2.74,19.7,81.8,32.2,28.4,48.3
6,7,Boston Bruins,2011-12,82,49,29,0,4,102,40,.622,260,199,9,3.17,2.43,17.2,83.5,32.4,29.8,54.5
7,8,New Jersey Devils,2011-12,82,48,28,0,6,102,36,.622,216,205,12,2.63,2.50,17.2,89.6,27.5,26.8,47.1
8,9,Detroit Red Wings,2011-12,82,48,28,0,6,102,39,.622,239,200,9,2.91,2.44,16.1,81.8,32.2,27.0,51.6
9,10,Chicago Blackhawks,2011-12,82,45,26,0,11,101,38,.616,241,231,7,2.94,2.82,15.2,78.1,31.5,28.6,50.5
10,11,Phoenix Coyotes,2011-12,82,42,27,0,13,97,36,.591,210,194,6,2.56,2.37,13.5,85.5,29.6,31.6,50.1
11,12,San Jose Sharks,2011-12,82,43,29,0,10,96,34,.585,219,205,9,2.67,2.50,21.1,76.9,33.8,28.6,53.3
12,13,Los Angeles Kings,2011-12,82,40,27,0,15,95,34,.579,188,170,6,2.29,2.07,17.0,87.0,30.6,27.4,51.5
13,14,Florida Panthers,2011-12,82,38,26,0,18,94,32,.573,197,216,6,2.40,2.63,18.5,79.5,29.7,30.5,50.6
14,15,Washington Capitals,2011-12,82,42,32,0,8,92,38,.561,218,226,4,2.66,2.76,16.7,81.6,28.0,30.2,50.0
15,16,Ottawa Senators,2011-12,82,41,31,0,10,92,35,.561,243,236,6,2.96,2.88,18.1,81.6,31.4,32.0,50.1
16,17,Calgary Flames,2011-12,82,37,29,0,16,90,34,.549,199,217,3,2.43,2.65,17.7,84.3,27.5,30.8,46.2
17,18,Dallas Stars,2011-12,82,42,35,0,5,89,35,.543,204,218,7,2.49,2.66,13.5,82.8,28.2,30.8,49.1
18,19,Buffalo Sabres,2011-12,82,39,32,0,11,89,32,.543,211,223,7,2.57,2.72,17.1,81.7,29.2,31.4,49.5
19,20,Colorado Avalanche,2011-12,82,41,35,0,6,88,32,.537,199,218,9,2.43,2.66,18.4,83.0,31.5,29.6,51.6
20,21,Tampa Bay Lightning,2011-12,82,38,36,0,8,84,35,.512,232,278,3,2.83,3.39,15.2,79.2,27.2,30.5,48.6
21,22,Winnipeg Jets,2011-12,82,37,35,0,10,84,33,.512,221,242,4,2.70,2.95,17.9,80.1,30.1,30.1,49.0
22,23,Carolina Hurricanes,2011-12,82,33,33,0,16,82,32,.500,212,237,1,2.59,2.89,16.7,80.5,30.5,32.4,50.7
23,24,Minnesota Wild,2011-12,82,35,36,0,11,81,24,.494,166,217,11,2.02,2.65,15.1,82.1,26.5,31.4,51.2
24,25,Toronto Maple Leafs,2011-12,82,35,37,0,10,80,31,.488,227,259,4,2.77,3.16,18.4,77.3,28.3,30.8,51.6
25,26,Anaheim Ducks,2011-12,82,34,36,0,12,80,31,.488,201,224,3,2.45,2.73,16.6,82.0,27.9,28.9,47.4
26,27,New York Islanders,2011-12,82,34,37,0,11,79,27,.482,196,251,7,2.39,3.06,18.5,80.5,29.4,30.1,48.0
27,28,Montréal Canadiens,2011-12,82,31,35,0,16,78,26,.476,207,214,5,2.52,2.61,14.3,88.6,28.5,29.7,48.3
28,29,Edmonton Oilers,2011-12,82,32,40,0,10,74,27,.451,207,232,5,2.52,2.83,20.6,82.4,26.7,30.7,47.7
29,30,Columbus Blue Jackets,2011-12,82,29,46,0,7,65,25,.396,198,257,4,2.41,3.13,15.4,76.6,29.9,30.9,50.9
