,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Boston Bruins,1937-38,48,30,11,7,,67,0,.698,142,89,0,2.96,1.85,--,--,--,--,--
1,2,New York Rangers,1937-38,48,27,15,6,,60,0,.625,149,96,0,3.10,2.00,--,--,--,--,--
2,3,Toronto Maple Leafs,1937-38,48,24,15,9,,57,0,.594,151,127,0,3.15,2.65,--,--,--,--,--
3,4,New York Americans,1937-38,48,19,18,11,,49,0,.510,110,111,0,2.29,2.31,--,--,--,--,--
4,5,Montréal Canadiens,1937-38,48,18,17,13,,49,0,.510,123,128,0,2.56,2.67,--,--,--,--,--
5,6,Chicago Blackhawks,1937-38,48,14,25,9,,37,0,.385,97,139,0,2.02,2.90,--,--,--,--,--
6,7,Detroit Red Wings,1937-38,48,12,25,11,,35,0,.365,99,133,0,2.06,2.77,--,--,--,--,--
7,8,Montreal Maroons,1937-38,48,12,30,6,,30,0,.313,101,149,0,2.10,3.10,--,--,--,--,--
