,Index,Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Win,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
0,1,Montréal Canadiens,1961-62,70,42,14,14,,98,0,.700,259,166,0,3.70,2.37,--,--,34.1,30.9,--
1,2,Toronto Maple Leafs,1961-62,70,37,22,11,,85,0,.607,232,180,0,3.31,2.57,--,--,32.2,31.2,--
2,3,Chicago Blackhawks,1961-62,70,31,26,13,,75,0,.536,217,186,0,3.10,2.66,--,--,30.8,30.5,--
3,4,New York Rangers,1961-62,70,26,32,12,,64,0,.457,195,207,0,2.79,2.96,--,--,28.8,33.3,--
4,5,Detroit Red Wings,1961-62,70,23,33,14,,60,0,.429,184,219,0,2.63,3.13,--,--,33.2,29.0,--
5,6,Boston Bruins,1961-62,70,15,47,8,,38,0,.271,177,306,0,2.53,4.37,--,--,30.9,35.2,--
